Purity,Data Records, Depth Level, Accuracy Rate,All Hits,All Misses,All Records
70,30,2,82.25,1316,284,1600
70,30,3,82.25,1316,284,1600
70,30,4,82.25,1316,284,1600
70,30,5,82.25,1316,284,1600
70,30,6,82.25,1316,284,1600
70,30,7,82.25,1316,284,1600
70,30,8,82.25,1316,284,1600
70,30,9,82.25,1316,284,1600
70,30,10,82.25,1316,284,1600
70,25,2,82.25,1316,284,1600
70,25,3,82.25,1316,284,1600
70,25,4,82.25,1316,284,1600
70,25,5,82.25,1316,284,1600
70,25,6,82.25,1316,284,1600
70,25,7,82.25,1316,284,1600
70,25,8,82.25,1316,284,1600
70,25,9,82.25,1316,284,1600
70,25,10,82.25,1316,284,1600
70,20,2,82.25,1316,284,1600
70,20,3,82.25,1316,284,1600
70,20,4,82.25,1316,284,1600
70,20,5,82.25,1316,284,1600
70,20,6,82.25,1316,284,1600
70,20,7,82.25,1316,284,1600
70,20,8,82.25,1316,284,1600
70,20,9,82.25,1316,284,1600
70,20,10,82.25,1316,284,1600
70,15,2,82.25,1316,284,1600
70,15,3,82.25,1316,284,1600
70,15,4,82.25,1316,284,1600
70,15,5,82.25,1316,284,1600
70,15,6,82.25,1316,284,1600
70,15,7,82.25,1316,284,1600
70,15,8,82.25,1316,284,1600
70,15,9,82.25,1316,284,1600
70,15,10,82.25,1316,284,1600
70,10,2,82.25,1316,284,1600
70,10,3,82.25,1316,284,1600
70,10,4,82.25,1316,284,1600
70,10,5,82.25,1316,284,1600
70,10,6,82.25,1316,284,1600
70,10,7,82.25,1316,284,1600
70,10,8,82.25,1316,284,1600
70,10,9,82.25,1316,284,1600
70,10,10,82.25,1316,284,1600
70,8,2,82.25,1316,284,1600
